set,instance,H0,H1,S0,S1,C0,C1,H0||C0,H0||C1,H1||C0,H1||C1,S0||C0,S0||C1,S1||C0,S1||C1,H1->C0@25%,H1->C0@50%,C0->H1@25%,C0->H1@50%
miplib,sorrell3,0.8830684036665237,0.8844482290633702,0.3549538402969726,0.3600413694091306,0.07930171281683822,1.0,0.07930171281683822,0.8830684036665237,0.07930171281683822,0.8844482290633702,0.07930171281683822,0.3549538402969726,0.07930171281683822,0.3600413694091306,0.29008753283536254,0.49321253283536254,0.07930171281683822,0.07930171281683822
miplib,net12,0.19351366976549197,0.18610526411852787,1.0,0.4057470606887747,0.06296417392316857,0.06324828747644415,0.05854735166947962,0.06154816027259941,0.05601154314925374,0.059012351752373536,0.06296417392316857,0.06324828747644415,0.06296417392316857,0.06324828747644415,0.11344724366517529,0.15364332209654785,0.1758182728078937,0.06296417392316857
miplib,eil33-2,0.11304242905620504,0.12745809096073726,0.07605780111758652,0.0758272929499241,0.1431346475452879,0.0673078181364943,0.07447969661003846,0.062152401770651074,0.08465753405744889,0.06369499941207962,0.06855656161225292,0.0605189595143746,0.06139542193283528,0.057462984775188866,0.13322814799186575,0.12745809096073726,0.14529323385983461,0.1592389731126633
miplib,neos-873061,0.16898647191604618,0.21796907812636288,0.8739723063922151,0.8972063686425726,0.9966252373256534,0.9966349553938564,0.16870524482792884,0.1687149628961318,0.21755911912824122,0.2175688371964442,0.872741936398598,0.872751654466801,0.8957117427326454,0.8957214608008482,0.23403488085146099,0.23403488085146099,0.4578881993349118,0.6839157953255215
miplib,neos-3004026-krka,1.0,1.0,0.9338975971001976,1.0,0.009579243666181961,0.012062620398743699,0.009579243666181961,0.012062620398743699,0.009579243666181961,0.012062620398743699,0.009579243666181961,0.012062620398743699,0.009579243666181961,0.012062620398743699,0.25957924366618196,0.509579243666182,0.009579243666181961,0.009579243666181961
miplib,sp98ar,0.2134036107237143,0.2073813825690728,0.21745974978220542,0.15748156808770972,0.3354495608219609,0.24147290181357858,0.1437992367372365,0.15261756164922077,0.1401362048264711,0.14876082799074514,0.1610045624117916,0.16689885372054256,0.12043301521973614,0.12523050522298018,0.483145679943291,0.20739832113983772,0.24478948086436195,0.34942581833148795
miplib,pk1,0.22154068068718516,0.24016721621968007,0.15834767958397963,0.09192566355827658,0.43209291741647626,0.28126343833127837,0.22154068068718516,0.16156125660758566,0.24016721621968007,0.18018781057463318,0.15834767958397963,0.1535169427241639,0.09192566355827658,0.09192566355827658,0.27042339228370366,0.24016721621968007,0.34417635450496387,0.40242421036995835
miplib,neos5,0.000574398303009732,0.0009742918125061513,0.0013333554384558056,0.0030028790500769733,0.01005628163987762,0.011373888155296693,0.0005743983030094979,0.0005743983030094408,0.0009742918125061513,0.0009742918125061513,0.0012313398222071523,0.0012491329287810569,0.00241607258060469,0.0024338656871785947,0.0009742918125061513,0.0009742918125061513,0.010056281639877533,0.010056281639877563
miplib,neos-2746589-doon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
miplib,swath3,0.03738983012367241,0.02220632433651157,0.04312881219720096,0.0756739228062495,0.15881057300726098,0.14630724189169073,0.0344576861686583,0.03576837057255274,0.022154787630959284,0.022104334513401498,0.03743131082540895,0.04115042130030568,0.07139576706866019,0.07517176645205376,0.02221039148910791,0.02222317903522162,0.1597809355481406,0.15881057300726098
miplib,dano3_3,0.3176385040694357,0.290642177095433,0.22273162481800482,0.4490175916171643,1.0,1.0,0.3176385040694357,0.3176385040694357,0.290642177095433,0.290642177095433,0.22273162481800482,0.22273162481800482,0.4490175916171643,0.4490175916171643,1.0,0.29067919221655425,0.540642177095154,0.7906342993820181
miplib,markshare2,0.9754338540101917,0.9756651488337323,0.9762093549309175,0.9737672257899148,0.9507673783556191,0.962900208044413,0.9504466045602302,0.9616322709715134,0.9496159306967928,0.9626620725306531,0.9501959804386398,0.9625851378431426,0.9497406916752832,0.9625631133418111,0.9586399948679158,0.9664601542649552,0.9507673783556191,0.9507673783556191
